"","age3","sex2","race3","educat4","povgap4","pov2","svefreq2","foodindsev","qweight_pu","x1_sampcts","x1_popcts","wts","sampled_x1_label","abcat","dfcat","cdcat","bccat","nj","J_cell","grp1id","grp2id","grp3id","grp4id","grp5id","grp6id","grp7id"
"15","2","2","1","4","4","2","1","0",5774,46,94479,2053.89130434783,144,"2","1","4","1",44,237,0,0,0,0,0,0,0
"16","2","2","2","4","4","2","1","0",2788,18,22583,1254.61111111111,160,"2","1","8","2",13,264,0,0,0,0,0,0,0
"17","1","2","3","3","4","2","2","0",2403,8,17720,2215,85,"1","4","11","3",5,147,1,1,0,0,0,1,0
"18","1","2","3","4","4","2","1","0",5944,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"19","1","1","2","2","1","1","2","0",1241,14,31099,2221.35714285714,16,"1","1","6","1",5,26,1,0,0,1,1,1,0
"20","2","2","1","4","4","2","2","0",1906,46,94479,2053.89130434783,144,"2","4","4","1",2,238,1,1,0,0,0,0,1
"21","1","2","3","1","1","2","2","0",22690,24,193083,8045.125,74,"1","1","9","3",14,125,1,0,0,0,0,1,0
"22","1","2","3","4","2","2","1","0",1030,4,19308,4827,87,"1","1","12","3",4,150,0,0,0,0,0,0,0
"23","1","2","3","2","1","1","2","0",1488,32,38540,1204.375,78,"1","1","10","3",18,133,1,0,0,0,0,1,0
"24","2","1","1","3","4","2","1","0",9112,5,23573,4714.6,100,"1","1","3","1",5,166,0,0,0,0,0,0,0
"25","1","2","2","4","1","1","1","1",6364,7,15506,2215.14285714286,70,"1","1","8","2",5,117,0,0,1,1,0,0,0
"26","1","2","3","3","3","2","1","0",874,13,29405,2261.92307692308,84,"1","1","11","3",8,144,0,0,0,0,0,0,0
"27","1","2","2","4","4","2","1","0",4408,6,21449,3574.83333333333,73,"1","1","8","2",6,123,0,0,0,0,0,0,0
"28","3","1","3","4","4","2","1","0",9303,18,19365,1075.83333333333,222,"1","1","12","1",17,370,0,0,0,0,0,0,0
"29","2","1","1","3","4","2","1","0",13236,5,23573,4714.6,100,"1","1","3","1",5,166,0,0,0,0,0,0,0
"30","1","2","3","4","4","2","1","0",5580,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"31","2","2","2","2","4","2","1","1",3437,2,5032,2516,152,"2","1","6","2",2,250,0,0,0,0,0,0,0
"32","2","2","2","3","1","2","1","0",10976,15,25781,1718.73333333333,153,"2","1","7","2",9,251,0,0,1,1,0,0,0
"33","1","1","1","4","4","2","1","0",7850,18,99937,5552.05555555556,11,"1","1","4","1",17,17,0,0,0,0,0,0,0
"34","2","2","1","4","4","2","1","0",3613,46,94479,2053.89130434783,144,"2","1","4","1",44,237,0,0,0,0,0,0,0
"35","1","2","2","2","1","1","1","1",1604,14,30524,2180.28571428571,62,"1","1","6","2",6,101,0,0,1,1,0,0,0
"36","2","1","1","2","2","2","1","0",9556,1,14436,14436,94,"1","1","2","1",1,159,0,0,0,0,0,0,0
"37","2","2","1","4","1","1","1","1",3680,10,19066,1906.6,141,"2","1","4","1",7,231,0,0,1,0,0,0,0
"38","1","2","2","3","3","2","2","0",1156,10,32823,3282.3,68,"1","3","7","2",2,114,1,0,0,0,0,1,0
"39","2","2","3","1","2","2","2","0",4228,5,16734,3346.8,162,"2","2","9","3",3,269,1,0,0,0,0,0,0
"40","1","2","2","4","2","2","1","1",2876,5,9956,1991.2,71,"1","1","8","2",4,119,0,0,0,0,0,0,0
"41","1","2","1","3","3","2","1","0",11544,5,26757,5351.4,53,"1","1","3","1",5,87,0,0,0,0,0,0,0
"42","1","2","2","2","3","2","2","0",1049,8,16195,2024.375,64,"1","3","6","2",4,106,1,0,0,0,0,1,0
"43","1","1","3","4","4","2","1","0",2548,12,34000,2833.33333333333,43,"1","1","12","1",9,71,0,0,0,0,0,0,0
"44","1","2","3","2","1","2","1","0",4514,32,38540,1204.375,78,"1","1","10","3",14,132,0,0,1,0,0,0,0
"45","2","2","3","3","2","2","1","0",2774,8,14509,1813.625,169,"2","1","11","3",3,280,0,0,0,0,0,0,0
"46","2","2","2","4","4","2","1","0",390,18,22583,1254.61111111111,160,"2","1","8","2",13,264,0,0,0,0,0,0,0
"47","2","2","1","4","3","2","1","0",720,27,42118,1559.92592592593,143,"2","1","4","1",26,235,0,0,0,0,0,0,0
"48","1","2","3","3","3","2","2","0",2527,13,29405,2261.92307692308,84,"1","3","11","3",5,145,1,0,0,0,0,1,0
"49","3","2","3","4","4","2","1","0",1048,10,18266,1826.6,269,"3","1","12","3",10,452,0,0,0,0,0,0,0
"50","2","1","1","1","3","2","2","0",17340,1,8449,8449,91,"1","3","1","1",1,155,1,0,0,0,1,0,0
"51","3","2","1","2","1","2","2","0",1132,20,87041,4352.05,226,"3","1","2","1",5,377,1,0,0,0,0,0,0
"52","1","2","1","4","1","2","2","0",7652,5,62249,12449.8,55,"1","1","4","1",1,90,1,0,0,0,0,1,1
"53","1","2","3","2","1","1","2","1",1488,32,38540,1204.375,78,"1","1","10","3",18,133,1,0,0,0,0,1,0
"54","2","2","1","4","3","2","1","0",1287,27,42118,1559.92592592593,143,"2","1","4","1",26,235,0,0,0,0,0,0,0
"55","3","2","2","3","2","2","2","0",1912,10,15275,1527.5,247,"3","2","7","2",4,413,1,0,0,0,0,0,0
"56","2","2","2","1","1","1","2","1",3696,11,20880,1898.18181818182,145,"2","1","5","2",6,240,1,0,0,1,0,0,0
"57","2","2","3","4","4","2","1","0",2789,14,31176,2226.85714285714,175,"2","1","12","3",12,292,0,0,0,0,0,0,0
"58","3","1","2","3","4","2","2","0",4508,4,12861,3215.25,202,"1","4","7","1",1,336,1,1,0,0,1,0,0
"59","2","2","3","3","3","2","2","0",1273,8,12911,1613.875,170,"2","3","11","3",5,283,1,0,0,0,0,0,0
"60","1","2","3","2","3","2","1","0",7442,7,11173,1596.14285714286,80,"1","1","10","3",4,136,0,0,0,0,0,0,0
"61","1","2","3","4","3","2","1","0",2744,17,34559,2032.88235294118,88,"1","1","12","3",13,151,0,0,0,0,0,0,0
"62","1","2","3","4","3","2","1","0",612,17,34559,2032.88235294118,88,"1","1","12","3",13,151,0,0,0,0,0,0,0
"63","1","1","1","4","2","2","1","0",6524,3,29934,9978,9,"1","1","4","1",2,13,0,0,0,0,0,0,0
"64","1","2","2","4","4","2","1","0",4408,6,21449,3574.83333333333,73,"1","1","8","2",6,123,0,0,0,0,0,0,0
"65","1","2","3","4","4","2","1","0",10908,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"66","2","2","1","4","4","2","1","0",5774,46,94479,2053.89130434783,144,"2","1","4","1",44,237,0,0,0,0,0,0,0
"67","2","2","1","2","2","1","1","0",7102,1,11464,11464,135,"2","1","2","1",1,221,0,0,0,0,0,0,0
"68","1","2","2","3","3","2","1","0",7039,10,32823,3282.3,68,"1","1","7","2",8,113,0,0,0,0,0,0,0
"69","2","2","1","2","1","2","2","0",2237,7,23761,3394.42857142857,134,"2","1","2","1",5,220,1,0,0,0,0,0,0
"70","3","2","1","4","4","2","1","0",3613,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"71","2","2","2","3","1","1","2","1",736,15,25781,1718.73333333333,153,"2","1","7","2",6,252,1,0,0,1,0,0,0
"72","2","2","2","4","2","2","2","0",1368,11,8796,799.636363636364,158,"2","2","8","2",4,261,1,0,0,0,0,0,1
"73","1","2","3","4","3","2","2","1",5555,17,34559,2032.88235294118,88,"1","3","12","3",4,152,1,0,0,0,0,1,1
"74","2","2","1","4","4","2","1","0",1078,46,94479,2053.89130434783,144,"2","1","4","1",44,237,0,0,0,0,0,0,0
"75","1","2","3","3","1","2","1","0",6875,35,48700,1391.42857142857,82,"1","1","11","3",22,140,0,0,1,0,0,0,0
"76","2","1","2","4","4","2","1","0",2744,3,17125,5708.33333333333,115,"1","1","8","1",3,190,0,0,0,0,0,0,0
"77","2","2","1","4","3","2","1","0",4653,27,42118,1559.92592592593,143,"2","1","4","1",26,235,0,0,0,0,0,0,0
"78","2","2","2","2","1","1","1","0",2799,10,35605,3560.5,149,"2","1","6","2",4,244,0,0,1,1,0,0,0
"79","2","1","1","4","3","2","1","0",1292,4,38443,9610.75,102,"1","1","4","1",4,168,0,0,0,0,0,0,0
"80","1","2","3","3","4","2","2","0",558,8,17720,2215,85,"1","4","11","3",5,147,1,1,0,0,0,1,0
"81","2","1","1","4","4","2","1","0",967,29,98721,3404.1724137931,103,"1","1","4","1",27,169,0,0,0,0,0,0,0
"82","1","2","3","4","4","2","1","0",2694,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"83","2","1","3","3","4","2","1","0",776,5,9978,1995.6,126,"1","1","11","1",3,207,0,0,0,0,0,0,0
"84","2","2","1","4","4","2","1","0",496,46,94479,2053.89130434783,144,"2","1","4","1",44,237,0,0,0,0,0,0,0
"85","3","1","3","3","3","2","2","0",3077,8,12376,1547,217,"1","3","11","1",3,363,1,0,0,0,1,0,0
"86","3","2","3","2","1","1","2","0",1991,27,37033,1371.59259259259,258,"3","1","10","3",11,432,1,0,0,0,0,0,0
"87","1","2","3","4","4","2","1","0",3094,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"88","2","1","3","4","3","2","2","0",2944,5,16682,3336.4,129,"1","3","12","1",2,214,1,0,0,0,1,0,1
"89","2","2","1","4","4","2","1","0",6974,46,94479,2053.89130434783,144,"2","1","4","1",44,237,0,0,0,0,0,0,0
"90","2","1","2","4","3","2","1","0",3160,4,12553,3138.25,114,"1","1","8","1",3,188,0,0,0,0,0,0,0
"91","3","2","2","1","1","2","2","1",4005,26,50035,1924.42307692308,238,"3","1","5","2",7,397,1,0,0,1,0,0,0
"92","3","1","1","4","4","2","1","0",11998,51,106256,2083.45098039216,190,"1","1","4","1",48,316,0,0,0,0,0,0,0
"93","2","1","2","4","4","2","1","0",4116,3,17125,5708.33333333333,115,"1","1","8","1",3,190,0,0,0,0,0,0,0
"94","2","2","3","1","1","2","2","0",3716,31,49480,1596.12903225806,161,"2","1","9","3",19,267,1,0,0,0,0,0,0
"95","1","1","3","2","3","2","1","0",868,9,18587,2065.22222222222,34,"1","1","10","1",4,54,0,0,0,0,0,0,0
"96","3","2","1","3","3","2","1","0",3145,13,25114,1931.84615384615,232,"3","1","3","1",12,385,0,0,0,0,0,0,0
"97","3","1","1","4","3","2","1","0",3880,23,41557,1806.82608695652,189,"1","1","4","1",21,314,0,0,0,0,0,0,0
"98","3","2","2","3","4","2","1","0",3157,8,14626,1828.25,249,"3","1","7","2",6,416,0,0,0,0,0,0,0
"99","1","2","3","1","1","1","2","0",10670,24,193083,8045.125,74,"1","1","9","3",14,125,1,0,0,0,0,1,0
"100","3","2","2","2","2","2","1","0",2770,7,17857,2551,243,"3","1","6","2",6,404,0,0,0,0,0,0,0
"101","1","1","3","2","3","2","2","0",7742,9,18587,2065.22222222222,34,"1","3","10","1",5,55,1,0,0,0,1,1,0
"102","3","2","3","1","1","2","1","0",7021,54,85439,1582.2037037037,254,"3","1","9","3",35,425,0,0,1,0,0,0,0
"103","1","2","3","4","3","2","1","0",2116,17,34559,2032.88235294118,88,"1","1","12","3",13,151,0,0,0,0,0,0,0
"104","2","2","2","2","1","1","2","0",3370,10,35605,3560.5,149,"2","1","6","2",6,245,1,0,0,1,0,0,0
"105","1","2","3","4","4","2","1","0",9982,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"106","3","1","1","4","2","2","1","0",9999,18,22873,1270.72222222222,188,"1","1","4","1",17,312,0,0,0,0,0,0,0
"107","2","2","3","4","3","2","1","0",592,17,20238,1190.47058823529,174,"2","1","12","3",15,290,0,0,0,0,0,0,0
"108","2","1","2","2","4","2","1","0",1623,3,7470,2490,107,"1","1","6","1",2,176,0,0,0,0,0,0,0
"109","3","2","1","3","1","2","1","0",5493,22,45927,2087.59090909091,230,"3","1","3","1",17,382,0,0,1,0,0,0,0
"110","2","1","3","2","2","2","2","0",1542,2,16587,8293.5,121,"1","2","10","1",1,200,1,0,0,0,1,0,0
"111","3","2","3","1","1","1","1","0",10672,54,85439,1582.2037037037,254,"3","1","9","3",35,425,0,0,1,0,0,0,0
"112","3","2","3","1","1","1","2","0",988,54,85439,1582.2037037037,254,"3","1","9","3",19,426,1,0,0,0,0,0,0
"113","3","1","3","3","1","1","2","0",2721,12,6855,571.25,215,"1","1","11","1",3,359,1,0,0,0,1,0,0
"114","1","1","3","4","3","2","1","0",640,11,27060,2460,42,"1","1","12","1",10,69,0,0,0,0,0,0,0
"115","2","2","3","4","4","2","1","0",5630,14,31176,2226.85714285714,175,"2","1","12","3",12,292,0,0,0,0,0,0,0
"116","1","2","3","2","1","1","2","0",2124,32,38540,1204.375,78,"1","1","10","3",18,133,1,0,0,0,0,1,0
"117","3","2","3","3","1","1","2","0",2080,19,17296,910.315789473684,262,"3","1","11","3",9,440,1,0,0,0,0,0,0
"118","2","1","2","3","3","2","1","0",4359,3,16925,5641.66666666667,110,"1","1","7","1",2,182,0,0,0,0,0,0,0
"119","3","1","1","4","2","2","1","0",7208,18,22873,1270.72222222222,188,"1","1","4","1",17,312,0,0,0,0,0,0,0
"120","3","1","3","3","3","2","1","0",9440,8,12376,1547,217,"1","1","11","1",5,362,0,0,0,0,0,0,0
"121","1","2","2","3","2","2","1","0",1026,8,19447,2430.875,67,"1","1","7","2",5,111,0,0,0,0,0,0,0
"122","2","2","1","4","1","1","1","0",666,10,19066,1906.6,141,"2","1","4","1",7,231,0,0,1,0,0,0,0
"123","3","2","2","3","1","1","2","0",3067,29,35937,1239.20689655172,246,"3","1","7","2",12,411,1,0,0,1,0,0,0
"124","1","1","1","4","4","2","1","0",13476,18,99937,5552.05555555556,11,"1","1","4","1",17,17,0,0,0,0,0,0,0
"125","3","2","1","4","1","2","1","0",7146,15,45846,3056.4,234,"3","1","4","1",12,389,0,0,1,0,0,0,0
"126","1","2","2","2","1","2","2","0",5292,14,30524,2180.28571428571,62,"1","1","6","2",8,102,1,0,0,1,0,1,0
"127","3","2","1","4","4","2","1","0",6100,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"128","2","2","2","4","3","2","1","0",860,15,20773,1384.86666666667,159,"2","1","8","2",14,262,0,0,0,0,0,0,0
"129","1","2","3","3","4","2","1","0",12016,8,17720,2215,85,"1","1","11","3",3,146,0,0,0,0,0,0,0
"130","1","2","3","4","3","2","1","0",1239,17,34559,2032.88235294118,88,"1","1","12","3",13,151,0,0,0,0,0,0,0
"131","2","2","3","1","2","2","1","0",12404,5,16734,3346.8,162,"2","1","9","3",2,268,0,0,0,0,0,0,0
"132","3","2","2","2","1","2","2","1",1404,37,53836,1455.02702702703,242,"3","1","6","2",9,403,1,0,0,1,0,0,0
"133","2","1","1","3","4","2","1","0",8124,5,23573,4714.6,100,"1","1","3","1",5,166,0,0,0,0,0,0,0
"134","3","2","1","2","4","2","1","0",2615,12,31034,2586.16666666667,229,"3","1","2","1",10,380,0,0,0,0,0,0,0
"135","1","1","2","2","4","2","2","0",1477,6,13094,2182.33333333333,19,"1","4","6","1",1,32,1,1,0,0,1,1,0
"136","3","2","1","2","1","1","2","0",2335,20,87041,4352.05,226,"3","1","2","1",5,377,1,0,0,0,0,0,0
"137","1","2","3","3","4","2","2","0",12404,8,17720,2215,85,"1","4","11","3",5,147,1,1,0,0,0,1,0
"138","3","1","1","4","3","2","1","0",942,23,41557,1806.82608695652,189,"1","1","4","1",21,314,0,0,0,0,0,0,0
"139","2","2","3","4","1","1","2","0",683,9,16582,1842.44444444444,172,"2","1","12","3",3,287,1,0,0,0,0,0,1
"140","1","2","2","4","3","2","1","0",3874,6,17217,2869.5,72,"1","1","8","2",5,121,0,0,0,0,0,0,0
"141","3","2","2","4","1","2","1","0",861,14,12656,904,250,"3","1","8","2",8,418,0,0,1,1,0,0,0
"142","3","1","2","1","1","2","2","0",7634,9,29342,3260.22222222222,191,"1","1","5","1",5,319,1,0,0,1,1,0,0
"143","1","2","3","4","1","2","2","0",1374,15,31521,2101.4,86,"1","1","12","3",5,149,1,0,0,0,0,1,1
"144","1","2","1","1","1","2","1","0",17504,3,120385,40128.3333333333,44,"1","1","1","1",2,73,0,0,1,0,0,0,0
"145","2","2","1","4","4","2","2","0",1748,46,94479,2053.89130434783,144,"2","4","4","1",2,238,1,1,0,0,0,0,1
"146","2","2","3","3","2","2","2","1",1918,8,14509,1813.625,169,"2","2","11","3",5,281,1,0,0,0,0,0,0
"147","2","2","2","2","3","2","1","0",12637,8,17338,2167.25,151,"2","1","6","2",5,248,0,0,0,0,0,0,0
"148","2","2","1","3","1","1","1","0",3920,5,20051,4010.2,137,"2","1","3","1",4,223,0,0,1,0,0,0,0
"149","3","2","3","1","1","2","2","0",2139,54,85439,1582.2037037037,254,"3","1","9","3",19,426,1,0,0,0,0,0,0
"150","2","1","3","4","4","2","1","0",777,14,26167,1869.07142857143,130,"1","1","12","1",14,215,0,0,0,0,0,0,0
"151","3","2","1","4","4","2","1","0",7103,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"152","1","2","3","3","1","2","2","0",964,35,48700,1391.42857142857,82,"1","1","11","3",13,141,1,0,0,0,0,1,0
"153","2","2","3","2","1","1","2","0",682,14,35944,2567.42857142857,164,"2","1","10","3",11,272,1,0,0,0,0,0,0
"154","2","1","3","1","2","2","1","0",5887,1,18059,18059,117,"1","1","9","1",1,193,0,0,0,0,0,0,0
"155","3","2","2","4","3","2","1","0",2938,19,17668,929.894736842105,252,"3","1","8","2",17,421,0,0,0,0,0,0,0
"156","3","2","1","4","4","2","1","0",4596,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"157","3","2","2","2","3","2","2","0",1417,13,27315,2101.15384615385,244,"3","3","6","2",2,407,1,0,0,0,0,0,0
"158","3","2","1","4","3","2","1","0",7103,25,46662,1866.48,236,"3","1","4","1",23,392,0,0,0,0,0,0,0
"159","2","1","1","4","4","2","1","0",946,29,98721,3404.1724137931,103,"1","1","4","1",27,169,0,0,0,0,0,0,0
"160","1","1","3","2","1","1","2","0",6262,22,40735,1851.59090909091,32,"1","1","10","1",8,51,1,0,0,0,1,1,0
"161","3","2","1","4","4","2","1","0",3943,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"162","3","1","1","1","1","1","2","0",9849,4,47571,11892.75,176,"1","1","1","1",1,295,1,0,0,0,1,0,0
"163","2","2","2","4","3","2","1","0",1299,15,20773,1384.86666666667,159,"2","1","8","2",14,262,0,0,0,0,0,0,0
"164","1","2","2","4","1","1","1","0",1794,7,15506,2215.14285714286,70,"1","1","8","2",5,117,0,0,1,1,0,0,0
"165","3","2","2","3","1","2","2","0",872,29,35937,1239.20689655172,246,"3","1","7","2",12,411,1,0,0,1,0,0,0
"166","1","2","3","2","1","1","2","0",751,32,38540,1204.375,78,"1","1","10","3",18,133,1,0,0,0,0,1,0
"167","2","1","1","3","3","2","2","0",7130,5,19324,3864.8,99,"1","3","3","1",1,165,1,0,0,0,1,0,0
"168","1","1","3","2","1","1","1","0",1894,22,40735,1851.59090909091,32,"1","1","10","1",14,50,0,0,1,0,0,0,0
"169","3","2","1","4","4","2","1","0",3194,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"170","2","2","3","3","3","2","2","0",1252,8,12911,1613.875,170,"2","3","11","3",5,283,1,0,0,0,0,0,0
"171","2","2","3","2","1","2","2","0",511,14,35944,2567.42857142857,164,"2","1","10","3",11,272,1,0,0,0,0,0,0
"172","3","2","1","3","1","2","1","0",4670,22,45927,2087.59090909091,230,"3","1","3","1",17,382,0,0,1,0,0,0,0
"173","1","1","2","4","1","2","1","0",2288,2,6743,3371.5,24,"1","1","8","1",2,40,0,0,1,1,0,0,0
"174","2","1","3","2","4","2","1","0",2681,2,9731,4865.5,123,"1","1","10","1",2,202,0,0,0,0,0,0,0
"175","1","2","3","1","1","1","2","0",7626,24,193083,8045.125,74,"1","1","9","3",14,125,1,0,0,0,0,1,0
"176","3","2","2","3","1","2","1","0",5859,29,35937,1239.20689655172,246,"3","1","7","2",17,410,0,0,1,1,0,0,0
"177","3","1","2","3","1","2","2","0",1564,13,19286,1483.53846153846,199,"1","1","7","1",9,330,1,0,0,1,1,0,0
"178","1","1","3","3","1","2","1","0",8437,11,39511,3591.90909090909,36,"1","1","11","1",8,57,0,0,1,0,0,0,0
"179","1","2","2","3","3","2","1","0",516,10,32823,3282.3,68,"1","1","7","2",8,113,0,0,0,0,0,0,0
"180","2","2","3","1","3","2","1","0",6070,2,11620,5810,163,"2","1","9","3",2,270,0,0,0,0,0,0,0
"181","3","1","1","2","1","2","1","0",15058,8,54000,6750,179,"1","1","2","1",6,298,0,0,1,0,0,0,0
"182","3","2","2","2","4","2","1","0",5678,9,11679,1297.66666666667,245,"3","1","6","2",7,408,0,0,0,0,0,0,0
"183","1","2","3","2","1","1","2","0",5768,32,38540,1204.375,78,"1","1","10","3",18,133,1,0,0,0,0,1,0
"184","2","1","1","4","4","2","1","0",1976,29,98721,3404.1724137931,103,"1","1","4","1",27,169,0,0,0,0,0,0,0
"185","2","2","3","1","1","1","2","0",1547,31,49480,1596.12903225806,161,"2","1","9","3",19,267,1,0,0,0,0,0,0
"186","3","2","1","4","3","2","1","0",5959,25,46662,1866.48,236,"3","1","4","1",23,392,0,0,0,0,0,0,0
"187","1","1","3","4","1","2","2","0",3938,4,21961,5490.25,40,"1","1","12","1",2,66,1,0,0,0,1,1,1
"188","1","2","3","2","1","1","2","0",3904,32,38540,1204.375,78,"1","1","10","3",18,133,1,0,0,0,0,1,0
"189","2","2","3","1","2","2","2","1",4494,5,16734,3346.8,162,"2","2","9","3",3,269,1,0,0,0,0,0,0
"190","1","1","3","3","1","2","2","0",1812,11,39511,3591.90909090909,36,"1","1","11","1",3,58,1,0,0,0,1,1,0
"191","2","2","1","4","3","2","1","0",7103,27,42118,1559.92592592593,143,"2","1","4","1",26,235,0,0,0,0,0,0,0
"192","3","1","3","3","4","2","1","0",920,8,7879,984.875,218,"1","1","11","1",7,364,0,0,0,0,0,0,0
"193","2","1","3","4","4","2","1","0",646,14,26167,1869.07142857143,130,"1","1","12","1",14,215,0,0,0,0,0,0,0
"194","3","2","1","3","1","2","1","0",7724,22,45927,2087.59090909091,230,"3","1","3","1",17,382,0,0,1,0,0,0,0
"195","1","2","2","2","1","2","2","0",3770,14,30524,2180.28571428571,62,"1","1","6","2",8,102,1,0,0,1,0,1,0
"196","1","2","3","4","1","1","1","0",7652,15,31521,2101.4,86,"1","1","12","3",10,148,0,0,1,0,0,0,0
"197","3","2","2","2","1","1","1","0",5703,37,53836,1455.02702702703,242,"3","1","6","2",28,402,0,0,1,1,0,0,0
"198","3","1","2","2","3","2","1","0",3421,7,23273,3324.71428571429,197,"1","1","6","1",4,326,0,0,0,0,0,0,0
"199","3","2","3","1","2","2","1","0",5407,3,22090,7363.33333333333,255,"3","1","9","3",3,427,0,0,0,0,0,0,0
"200","3","2","3","2","1","1","1","0",2436,27,37033,1371.59259259259,258,"3","1","10","3",16,431,0,0,1,0,0,0,0
"201","1","2","3","3","1","2","1","0",8004,35,48700,1391.42857142857,82,"1","1","11","3",22,140,0,0,1,0,0,0,0
"202","3","1","2","3","2","2","2","0",1750,3,10345,3448.33333333333,200,"1","2","7","1",1,332,1,0,0,0,1,0,0
"203","3","2","1","4","4","2","1","0",1374,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"204","2","2","3","4","4","2","2","0",2220,14,31176,2226.85714285714,175,"2","4","12","3",2,293,1,1,0,0,0,0,1
"205","2","2","2","2","2","2","1","1",902,4,16062,4015.5,150,"2","1","6","2",3,246,0,0,0,0,0,0,0
"206","2","1","1","3","3","2","1","0",1725,5,19324,3864.8,99,"1","1","3","1",4,164,0,0,0,0,0,0,0
"207","2","2","1","4","4","2","1","0",882,46,94479,2053.89130434783,144,"2","1","4","1",44,237,0,0,0,0,0,0,0
"208","3","2","2","2","1","2","1","1",7415,37,53836,1455.02702702703,242,"3","1","6","2",28,402,0,0,1,1,0,0,0
"209","1","1","3","2","1","1","2","1",6139,22,40735,1851.59090909091,32,"1","1","10","1",8,51,1,0,0,0,1,1,0
"210","1","1","3","2","1","1","1","0",6379,22,40735,1851.59090909091,32,"1","1","10","1",14,50,0,0,1,0,0,0,0
"211","3","1","1","3","3","2","1","0",10749,5,26344,5268.8,185,"1","1","3","1",5,307,0,0,0,0,0,0,0
"212","1","1","2","1","2","2","2","0",4652,3,49950,16650,13,"1","2","5","1",2,22,1,0,0,0,1,1,0
"213","1","2","2","2","1","1","2","0",674,14,30524,2180.28571428571,62,"1","1","6","2",8,102,1,0,0,1,0,1,0
"214","3","2","2","2","1","2","1","0",3026,37,53836,1455.02702702703,242,"3","1","6","2",28,402,0,0,1,1,0,0,0
"215","2","2","2","4","4","2","1","0",3245,18,22583,1254.61111111111,160,"2","1","8","2",13,264,0,0,0,0,0,0,0
"216","1","2","3","4","4","2","1","0",936,25,41059,1642.36,89,"1","1","12","3",25,153,0,0,0,0,0,0,0
"217","3","2","1","4","4","2","1","0",6194,83,94931,1143.74698795181,237,"3","1","4","1",76,394,0,0,0,0,0,0,0
"218","3","1","1","4","4","2","1","0",6791,51,106256,2083.45098039216,190,"1","1","4","1",48,316,0,0,0,0,0,0,0
"219","1","1","1","2","3","2","2","0",2958,4,25640,6410,4,"1","3","2","1",1,6,1,0,0,0,1,1,0
"220","1","2","3","1","1","1","2","1",1469,24,193083,8045.125,74,"1","1","9","3",14,125,1,0,0,0,0,1,0
