subject_id,adultx,qbor,childx,imp_female,imp_pdisyes,imp_pothyes,imp_pregyes,imp_pretyes,imp_psnapyes,imp_puiyes,imp_pwelfyes,imp_race,opmpov,opmthresh,qa4_age1_tc,qa4_gender1,qa4_rel1,qa4_age2_tc,qa4_gender2,qa4_rel2,qa4_age3_tc,qa4_gender3,qa4_rel3,qa4_age4_tc,qa4_gender4,qa4_rel4,qa4_age5_tc,qa4_gender5,qa4_rel5,qa4_age6_tc,qa4_gender6,qa4_rel6,qa4_age7_tc,qa4_gender7,qa4_rel7,qa4_age8_tc,qa4_gender8,qa4_rel8,qa4_age9_tc,qa4_gender9,qa4_rel9,qa1,qa8,qa9,qa9a,qa10,qa11,qb1,qb2,qb4,qb6,qc1,qc2,qc3,qc4,qc5_1,qc5_2,qc5_3,qc5_4,qc5_5,qc5_6,qc5_7,qc5_8,qc5_9,qc5_10,qc5_11,qc5_12,qc6,qd1,qd2,qd7,qd3,qd4,qd5,qd6x,qd6,qf1,qf2,qf3,qf4,qf5,qf6,qf7,qf8,qf9,qf10,qg0,qg2,qg2x,qg3,qg5,qg5x,qh1,qh2a,qh2b,qh3,qh4a,qh4b,qh5_1,qh5_2,qh5_3,qh5_4,qh5_5,qh5_6,qh5_7,qh5_8,qh5_9,qh5_10,qh6_1,qh6_2,qh6_3,qh6_4,qh6_5,qh6_6,qh6_7,qh7,qh7a,qh7b,qh9,qh10,qh10f,qh18,qi1,qi2_asian,qi2_black,qi2_hpa,qi2_natam,qi2_oth,qi2_white,qi3,qi5,qi6,qi8,qi9,qi10,qa3_age_tc,qa3_gender,sppart,qweight_p,qweight_pu,spmthresh,spmpov,qh19f,qb5_1,qb5_2,qb5_3,qb5_4,qb5_5,qb5_6,imp_earnhd_tc,imp_earnsp_tc,imp_incret_tc,imp_incdis_tc,imp_incwelf_tc,imp_incui_tc,imp_incsnap_tc,imp_increg_tc,imp_incoth_tc,imp_incothhh_tc,qh6_7x_tc,qh6_6x_tc,qh6_5x_tc,qh6_4x_tc,qh6_3x_tc,qh6_2x_tc,qh6_1x_tc,qh1x_tc,qh3x_tc,qh7x_tc,imp_chwoop_tc,imp_pmoop_tc,qa8x_tc,qa9x_tc,qa10x_tc,qh10x_tc,qh18x_tc,qh19x_tc,spmres_tc,opmres_tc,opmincneeds_tc,spmincneeds_tc,qsurveyyear,qsurveymonth
1149,1,2,1,1,2,2,2,2,2,2,2,5,2,15825,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,1,3,3,1,2,1,5,2,,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,8,1,1,3,3,2,2,2,2,2,1,2,1,1,12,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,1,1,1,2,2,2,2,1,2,4,8,1,1,,,32,2,2,3691,3691,21860.984,2,1,,,,,,,70000,0,0,0,0,0,0,0,0,0,,,,,,,,70000,,0,2680,300,1000,1000,,80,300,50,54711,70000,4.4233809,2.5026777,2013,2
1992,2,4,1,0,2,2,2,2,2,2,2,4,2,18480,40,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,2,4,2,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,1,2,1,6,1,1,3,3,2,2,2,2,2,2,2,2,1,7,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,2,2,2,2,2,1,2,6,7,1,1,,,49,1,1,2631,1316,27512.936,2,1,1,2,2,2,2,2,90000,60399.504,0,0,0,0,0,0,0,0,,,,,,,,100000,90000,0,5842.8193,1500,1700,1700,,800,1500,22,126004.58,188018.31,11.143822,4.5798302,2013,3
986,1,5,3,0,2,2,2,2,2,1,2,5,2,23364,85,2,3,85,1,7,85,2,7,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,4,3,2,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,6,1,1,3,3,2,2,2,2,2,2,2,1,1,10,,,,1,,,,,,2,2,2,1,2,2,2,2,2,2,,,,1,,,,1,,,2,,,1,1,2,2,2,2,1,2,3,8,1,1,,,29,1,2,1243,1243,29784.447,2,2,,,,,,,40000,0,0,0,0,0,0,0,0,62200.512,,,,6000,,,,40000,,70000,3000,3000,1100,1100,,,3000,250,109751.71,116000,4.9649034,3.6848664,2013,1
257,2,2,1,1,2,2,2,2,2,2,2,2,2,18480,46,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,1,3,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,8,1,1,3,3,2,2,2,2,2,2,2,2,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,2,2,1,2,2,2,2,1,8,1,1,,,42,2,1,3844,1922,27512.936,2,3,2,2,2,1,2,2,90000,60399.504,0,0,0,0,0,0,0,0,,,,,,,,100000,80000,0,5842.8193,400,25,25,,600,400,2400,136232.88,188018.31,11.143822,4.9515934,2013,2
1879,2,4,1,1,2,2,2,2,2,2,2,1,2,18480,43,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,2,,,,1,3,1,3,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,1,8,1,1,3,3,2,2,2,2,2,2,3,1,1,12,1,1,7,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,2,2,2,2,2,2,1,1,8,1,1,,,38,2,1,11549,5774,28415.986,2,2,2,2,1,2,2,2,72000,60000,0,0,0,0,0,0,0,0,,,,,,,,72000,60000,0,5842.8193,300,,,2700,925,300,150,73153.242,132000,7.1428571,2.5743692,2013,1
390,2,3,1,1,2,2,1,2,2,2,2,2,2,18480,49,1,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,3,2,4,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,4,1,2,1,1,1,7,1,1,3,3,2,2,2,2,2,2,1,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,1,2,,,,,,1,,1,,,1,1,5,1,2,2,1,2,2,2,2,6,8,1,1,,,39,2,1,5577,2788,27512.936,2,3,2,2,2,1,2,2,55000,60399.504,0,0,0,0,0,0,0,0,,3172,,,,,,55000,75000,0,5842.8193,2000,1750,1700,,5000,2000,2400,65810.75,133172,7.2062769,2.391993,2013,2
1844,3,3,1,1,1,2,1,2,1,2,2,5,2,24069,57,2,13,0,1,3,20,2,12,,,,,,,,,,,,,,,,,,,3,1,1,1,,3,4,3,1,,2,,2,,2,2,2,2,1,2,2,2,2,2,2,2,5,4,2,2,1,2,3,9,1,1,3,3,2,2,2,2,2,2,3,1,1,10,,,,98,5,,,,,2,1,2,2,1,1,2,1,1,2,,1,,,1,1,,,,,2,,,1,1,2,1,2,2,2,2,1,5,1,1,,1,25,2,2,7209,2403,34819.824,2,1,,,,,,,31467.613,0,0,8052,0,0,2844,0,0,57930.594,,7800,2844,,,8840,,,,,1508,0,1100,550,,,0,29,118944.66,106038.21,4.4055929,3.4160039,,
2103,3,3,1,1,2,2,2,2,2,2,2,5,2,24069,52,1,1,4,2,3,70,2,13,,,,,,,,,,,,,,,,,,,1,1,1,2,,1,1,5,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,1,2,2,1,10,1,1,3,3,1,2,2,1,1,2,2,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,5,1,1,2,2,2,2,1,2,4,8,1,1,,,34,2,1,17832,5944,34819.824,2,3,1,2,2,2,2,2,90000,60399.504,0,0,0,0,0,0,0,12990,,,,,,,,100000,97000,12990,5842.8193,7159.2764,1075,1075,,5200,6000,2400,144686.83,188018.31,11.143822,6.2594085,2013,1
1087,2,4,3,0,2,2,2,2,1,2,2,2,1,27400,46,2,13,7,2,6,2,2,3,3,2,3,,,,,,,,,,,,,,,,1,1,1,2,,2,3,4,2,,1,5,1,1,1,2,2,2,1,1,1,1,2,2,2,2,3,4,2,2,1,2,1,4,1,2,2,1,1,1,1,1,1,1,1,2,1,12,,,,1,,,,,,2,2,2,2,1,2,2,1,2,2,,,,,1,,,1,,,1,1,2,1,2,2,1,2,2,2,2,6,3,1,1,,1,29,1,2,2482,1241,34819.824,1,1,2,2,2,2,2,1,1800,0,0,0,0,0,3600,0,0,13200,,,5580,,,,,1800,,13200,1800,2300,900,600,,90,2300,29,17756.779,15000,.54744524,.50996178,2013,1
808,2,2,3,1,2,2,2,2,2,2,2,1,2,27400,45,1,1,10,1,3,7,2,3,7,1,3,,,,,,,,,,,,,,,,2,,,,1,3,2,2,1,1,2,,2,,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,7,1,1,3,3,2,2,2,2,2,2,3,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,5,1,2,2,2,2,2,2,1,1,8,1,1,,,45,2,1,3812,1906,35962.707,2,3,,,,,,,90000,50000,0,0,0,0,0,0,0,0,,,,,,,,100000,50000,0,5842.8193,1000,,,1500,5000,1000,2400,61116,150000,5.4744525,1.6994271,2013,3
1306,1,4,2,1,2,2,2,2,1,2,1,5,2,18498,1,2,6,8,2,4,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,2,4,3,1,1,1,1,2,,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,1,2,1,8,1,2,2,2,1,2,2,2,1,2,1,1,1,12,,,,1,,,,,,2,2,1,2,1,2,2,1,2,2,,,1,,1,,,1,,,2,,,1,1,2,1,2,2,2,2,1,2,1,1,,,28,2,2,22690,22690,25953.051,2,3,,,,,,,18000,0,0,0,0,0,1992.1339,0,0,4000,,,0,,2400,,,18000,,4000,400,0,548,400,,,0,400,45248.566,24400,1.3190615,1.7434777,2013,2
826,3,4,4,1,1,2,2,2,1,2,2,5,2,35594,32,1,1,12,2,3,9,2,3,6,2,3,5,2,3,18,1,1,,,,,,,,,,5,1,1,2,,,2,4,1,2,1,3,2,,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,1,1,1,2,8,1,2,2,2,1,2,2,1,2,2,2,1,1,9,2,1,7,1,,,1,,,2,1,2,2,1,2,2,1,2,2,,1,,,1,,,1,,,1,1,5,1,1,2,2,2,1,2,2,1,7,1,1,,2,34,2,1,3089,1030,44694.895,2,2,,,,,,,12000,5000,0,8000,0,0,3600,0,0,20000,,,6312,,,8000,,12000,5000,20000,5000,1000,1400,14,,1000,1000,700,56958.801,45000,1.264258,1.2743917,2013,1
1942,2,2,1,1,2,2,2,2,1,2,1,5,1,18480,31,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,3,3,1,,1,3,2,,2,2,2,2,1,2,2,1,2,2,2,2,3,3,2,2,2,2,1,7,1,1,2,2,2,2,2,2,2,2,2,1,1,8,1,1,8,1,,,98,2,,2,2,1,2,1,1,1,1,2,2,,,1,,1,,,1,,,1,1,1,1,1,2,2,2,2,2,2,4,3,1,2,1,1,23,2,1,2975,1488,27512.936,1,2,,,,,,,6500,6594.2524,0,0,0,0,2400,0,0,0,,,2400,,2400,,,6500,,0,2511,0,900,900,,15,0,208,23745.752,15494.253,.83843362,.86307591,,
240,2,4,3,0,2,2,2,2,2,2,2,1,2,27400,38,2,1,14,2,3,7,2,3,3,1,3,,,,,,,,,,,,,,,,2,,,,99,5,1,4,1,1,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,2,8,1,1,3,3,2,2,2,2,2,2,3,1,1,12,2,2,,99,,10,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,2,2,2,2,2,2,1,1,5,1,1,,,39,1,1,18224,9112,35962.707,2,2,2,2,2,2,2,1,90000,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,5842.8193,7159.2764,,,,1500,6000,250,144686.83,188018.31,11.143822,4.9663763,2013,3
754,1,1,1,1,2,2,2,2,2,2,2,2,1,15825,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,5,3,1,2,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,3,1,2,2,2,1,7,1,1,1,2,1,2,2,1,1,2,2,1,1,12,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,2,1,2,2,1,2,2,2,2,1,7,1,1,,,33,2,2,6364,6364,21860.984,1,,,,,,,,2800,0,0,0,0,0,0,0,0,0,,,,,,,,2800,,0,2800,100,620,620,,150,100,,7050.584,2800,.17693523,.32251906,2013,1
2246,2,3,2,1,2,2,2,2,1,1,2,4,2,23283,40,1,2,4,1,3,1,2,3,,,,,,,,,,,,,,,,,,,1,1,1,2,,1,3,4,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,1,7,1,1,2,3,1,2,2,1,2,2,2,2,1,5,1,1,12,1,,,1,,,2,2,2,1,1,1,2,1,2,2,,,,1,1,,,1,,,1,1,5,1,1,98,98,98,98,98,98,1,5,1,1,,,30,2,1,1748,874,31258.188,2,3,1,2,2,1,2,2,15000,40000,0,0,0,0,800,0,0,0,,,800,10000,,,,15000,40000,0,5842.8193,800,850,425,,1300,800,1500,58628.379,65000,2.7917364,1.8756167,2013,2
989,2,2,2,1,2,2,2,2,2,2,2,2,2,23283,4,2,3,1,2,3,35,1,1,,,,,,,,,,,,,,,,,,,1,1,1,2,,3,2,3,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,1,1,7,1,1,3,3,2,2,2,2,2,2,2,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,1,1,2,2,1,2,2,2,2,1,8,1,1,,,28,2,1,8816,4408,31258.188,2,2,1,2,1,2,2,2,90000,60399.504,0,0,0,0,0,0,0,62200.512,,,,,,,,100000,90000,80000,2700,100,1800,1700,,300,100,200,144686.83,188018.31,11.143822,6.2594085,2013,1
368,4,4,3,0,2,2,2,2,2,2,2,3,2,36651,51,2,1,38,1,9,31,2,14,10,2,5,3,1,5,12,2,3,,,,,,,,,,2,,,,1,2,2,2,1,2,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,3,2,2,2,2,4,8,1,1,3,3,2,2,2,2,2,2,3,1,1,12,2,2,,1,,,,,,2,2,2,2,2,2,2,1,2,2,,,,,,,,1,,,2,,,1,2,1,2,2,2,2,2,6,8,1,1,,,58,1,1,37212,9303,49346.758,2,3,,,,,,,48000,0,0,0,0,0,0,0,0,62200.512,,,,,,,,48000,,80000,3000,300,,,1800,,300,2400,136054.16,141000,3.8470984,2.7571042,2013,3
1944,2,4,1,0,2,2,2,2,2,2,2,1,2,18480,31,2,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,1,3,2,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,3,9,1,1,3,3,2,2,2,2,2,2,3,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,4,1,2,2,2,2,2,2,1,1,5,1,1,,,37,1,1,26472,13236,28415.986,2,1,2,2,1,2,2,2,40000,60399.504,0,0,0,0,0,0,0,0,,,,,,,,40000,70000,0,5842.8193,1000,,,1000,1300,1000,80,48754.199,110000,5.9523811,1.7157314,2013,3
787,4,2,1,1,2,2,2,2,2,1,2,5,2,28974,38,1,1,1,1,3,27,2,12,30,1,14,,,,,,,,,,,,,,,,2,,,,1,4,2,2,1,,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,8,1,1,3,3,2,2,2,2,2,2,2,1,1,12,2,1,10,1,,,1,,,2,2,2,1,2,2,2,2,2,2,,,,1,,,,1,,,1,1,4,1,1,2,1,2,2,2,2,1,8,1,1,,,30,2,1,22321,5580,42879.871,2,3,2,2,1,1,1,2,45000,60399.504,0,0,0,0,0,0,0,0,,,,2000,,,,45000,65000,0,5842.8193,200,,,3000,800,200,1500,65459.84,112000,3.8655345,1.5265867,2013,1
1173,3,2,2,1,2,2,2,2,2,2,2,2,2,28087,40,1,1,66,2,14,13,1,3,6,2,3,,,,,,,,,,,,,,,,3,1,1,2,,2,3,4,1,2,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,1,2,1,1,7,1,2,1,2,2,2,2,1,2,2,1,1,1,12,1,1,12,1,,,1,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,98,98,,2,,,1,2,2,1,2,2,2,2,6,3,1,1,,,37,2,1,10310,3437,38231.461,2,2,,,,,,,35000,30000,0,0,0,0,0,0,0,45103.582,,,,,,,,35000,30000,,3000,0,900,900,,,0,250,98164.086,110103.59,3.9200907,2.5676258,2013,1
25,1,2,1,1,2,2,2,2,2,2,2,2,2,15825,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,,1,3,3,2,1,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,1,3,8,1,1,3,2,2,2,2,1,1,2,1,1,1,12,,,,1,,,,,,2,2,2,2,2,2,2,2,2,2,,,,,,,,1,,,1,1,2,1,2,2,1,2,2,2,2,6,5,1,1,,,36,2,2,10976,10976,21860.984,1,1,,,,,,,34000,0,0,0,0,0,0,0,0,0,,,,,,,,34000,,0,5842.8193,250,1100,1100,,140,250,80,19588.699,34000,2.1484993,.89605749,2012,12
187,2,2,2,0,2,2,2,2,1,2,2,1,2,23283,32,2,1,5,1,3,3,2,3,,,,,,,,,,,,,,,,,,,1,1,1,1,,2,2,1,1,1,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,1,10,1,1,3,3,2,2,2,2,2,2,3,1,1,12,1,1,6,99,,99,1,,,2,2,2,2,1,2,1,1,2,2,,,,,1,,,1,,,1,1,5,1,2,2,2,2,2,2,1,1,8,1,1,,,33,1,1,15699,7850,31258.188,2,3,1,1,1,2,2,2,90000,12000,0,0,0,0,2000,0,0,12000,,,2000,,,,,,12000,12000,5842.8193,500,1400,1400,,5200,500,2400,125052.17,178703.03,7.6752582,4.0006213,2013,2
